ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2018-09-06-lords.u1	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	West, Alan William John	M	-
ParlaMint-GB_2018-09-06-lords.u2	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u3	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	West, Alan William John	M	-
ParlaMint-GB_2018-09-06-lords.u4	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u5	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Campbell, Menzies	M	-
ParlaMint-GB_2018-09-06-lords.u6	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u7	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Clark, David George	M	-
ParlaMint-GB_2018-09-06-lords.u8	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u9	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	Dannatt, Francis Richard	M	-
ParlaMint-GB_2018-09-06-lords.u10	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u11	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Sterling, Jeffrey	M	-
ParlaMint-GB_2018-09-06-lords.u12	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u13	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Tunnicliffe, Denis	M	-
ParlaMint-GB_2018-09-06-lords.u14	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2018-09-06-lords.u15	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Lord, Michael Nicholson	M	-
ParlaMint-GB_2018-09-06-lords.u16	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u17	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Lord, Michael Nicholson	M	-
ParlaMint-GB_2018-09-06-lords.u18	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u19	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Quin, Joyce Gwendolen	F	-
ParlaMint-GB_2018-09-06-lords.u20	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u21	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Ludford, Sarah	F	-
ParlaMint-GB_2018-09-06-lords.u22	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u23	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Grocott, Bruce Joseph	M	-
ParlaMint-GB_2018-09-06-lords.u24	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u25	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	Dykes, Hugh	M	-
ParlaMint-GB_2018-09-06-lords.u26	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u27	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Tebbit, Norman Beresford	M	-
ParlaMint-GB_2018-09-06-lords.u28	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Callanan, Martin	M	-
ParlaMint-GB_2018-09-06-lords.u29	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2018-09-06-lords.u30	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2018-09-06-lords.u31	Minutes of the House of Lords, Daily Session 2018-09-06	2018-09-06	2018-09-06	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
