ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-12-08-lords.u1	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Morris, Michael	M	-
ParlaMint-GB_2015-12-08-lords.u2	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u3	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Morris, Michael	M	-
ParlaMint-GB_2015-12-08-lords.u4	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u5	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Wright, Patrick	M	-
ParlaMint-GB_2015-12-08-lords.u6	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u7	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	West, Alan William John	M	-
ParlaMint-GB_2015-12-08-lords.u8	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u9	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Howell, David Arthur Russell	M	-
ParlaMint-GB_2015-12-08-lords.u10	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u11	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Jolly, Judith Anne	F	-
ParlaMint-GB_2015-12-08-lords.u12	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u13	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Touhig, James Donnelly	M	-
ParlaMint-GB_2015-12-08-lords.u14	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u15	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Singh, Indarjit	M	-
ParlaMint-GB_2015-12-08-lords.u16	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Curzon, Frederick Richard Penn	M	-
ParlaMint-GB_2015-12-08-lords.u17	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Greengross, Sally	F	-
ParlaMint-GB_2015-12-08-lords.u18	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Prior, David	M	-
ParlaMint-GB_2015-12-08-lords.u19	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Greengross, Sally	F	-
ParlaMint-GB_2015-12-08-lords.u20	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Prior, David	M	-
ParlaMint-GB_2015-12-08-lords.u21	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Hunt, Philip Alexander	M	-
ParlaMint-GB_2015-12-08-lords.u22	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Prior, David	M	-
ParlaMint-GB_2015-12-08-lords.u23	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Walmsley, Joan	F	-
ParlaMint-GB_2015-12-08-lords.u24	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Prior, David	M	-
ParlaMint-GB_2015-12-08-lords.u25	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Walton, John Nicholas	M	-
ParlaMint-GB_2015-12-08-lords.u26	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Prior, David	M	-
ParlaMint-GB_2015-12-08-lords.u27	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	King, Oona	F	-
ParlaMint-GB_2015-12-08-lords.u28	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Nash, John	M	-
ParlaMint-GB_2015-12-08-lords.u29	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	King, Oona	F	-
ParlaMint-GB_2015-12-08-lords.u30	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Nash, John	M	-
ParlaMint-GB_2015-12-08-lords.u31	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Storey, Michael John	M	-
ParlaMint-GB_2015-12-08-lords.u32	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Nash, John	M	-
ParlaMint-GB_2015-12-08-lords.u33	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Jolliffe, Raymond	M	-
ParlaMint-GB_2015-12-08-lords.u34	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Nash, John	M	-
ParlaMint-GB_2015-12-08-lords.u35	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	BI	Bishops	Opposition	Smith, Alan	M	-
ParlaMint-GB_2015-12-08-lords.u36	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Nash, John	M	-
ParlaMint-GB_2015-12-08-lords.u37	Minutes of the House of Lords, Daily Session 2015-12-08	2015-12-08	2015-12-08	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Aline, Margot	F	-
