ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2017-06-27-lords.u1	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Rooker, Jeffrey	M	-
ParlaMint-GB_2017-06-27-lords.u2	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u3	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Rooker, Jeffrey	M	-
ParlaMint-GB_2017-06-27-lords.u4	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u5	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Lansley, Andrew	M	-
ParlaMint-GB_2017-06-27-lords.u6	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u7	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Hayter, Dianne	F	-
ParlaMint-GB_2017-06-27-lords.u8	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u9	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Wallace, William John Lawrence	M	-
ParlaMint-GB_2017-06-27-lords.u10	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u11	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Davies, John	M	-
ParlaMint-GB_2017-06-27-lords.u12	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u13	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Lawson, Nigel	M	-
ParlaMint-GB_2017-06-27-lords.u14	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u15	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Mallalieu, Ann	F	-
ParlaMint-GB_2017-06-27-lords.u16	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Young, George	M	-
ParlaMint-GB_2017-06-27-lords.u17	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	GP	Green Party	Opposition	Jones, Jennifer	F	-
ParlaMint-GB_2017-06-27-lords.u18	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u19	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	GP	Green Party	Opposition	Jones, Jennifer	F	-
ParlaMint-GB_2017-06-27-lords.u20	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u21	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Morris, Michael	M	-
ParlaMint-GB_2017-06-27-lords.u22	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u23	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Kennedy, Roy Francis	M	-
ParlaMint-GB_2017-06-27-lords.u24	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u25	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Watts, Dave	M	-
ParlaMint-GB_2017-06-27-lords.u26	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u27	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Brinton, Sarah Virginia	F	-
ParlaMint-GB_2017-06-27-lords.u28	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u29	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	of Mar, Margaret	F	-
ParlaMint-GB_2017-06-27-lords.u30	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u31	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Campbell-Savours, Dale Norman	M	-
ParlaMint-GB_2017-06-27-lords.u32	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Bourne, Nicholas	M	-
ParlaMint-GB_2017-06-27-lords.u33	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Hunt, Philip Alexander	M	-
ParlaMint-GB_2017-06-27-lords.u34	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	O’Shaughnessy, James	M	-
ParlaMint-GB_2017-06-27-lords.u35	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Hunt, Philip Alexander	M	-
ParlaMint-GB_2017-06-27-lords.u36	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	O’Shaughnessy, James	M	-
ParlaMint-GB_2017-06-27-lords.u37	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Walmsley, Joan	F	-
ParlaMint-GB_2017-06-27-lords.u38	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	O’Shaughnessy, James	M	-
ParlaMint-GB_2017-06-27-lords.u39	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	Watkins, Mary	F	-
ParlaMint-GB_2017-06-27-lords.u40	Minutes of the House of Lords, Daily Session 2017-06-27	2017-06-27	2017-06-27	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	O’Shaughnessy, James	M	-
