ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2017-09-13-lords.u1	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Foulkes, George	M	-
ParlaMint-GB_2017-09-13-lords.u2	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u3	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Foulkes, George	M	-
ParlaMint-GB_2017-09-13-lords.u4	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u5	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Spicer, William	M	-
ParlaMint-GB_2017-09-13-lords.u6	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u7	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Ludford, Sarah	F	-
ParlaMint-GB_2017-09-13-lords.u8	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u9	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2017-09-13-lords.u10	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u11	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Watts, Dave	M	-
ParlaMint-GB_2017-09-13-lords.u12	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u13	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	Dykes, Hugh	M	-
ParlaMint-GB_2017-09-13-lords.u14	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u15	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	PC	Plaid Cymru	Opposition	Wigley, Dafydd Wynne	M	-
ParlaMint-GB_2017-09-13-lords.u16	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Anelay, Joyce	F	-
ParlaMint-GB_2017-09-13-lords.u17	Minutes of the House of Lords, Daily Session 2017-09-13	2017-09-13	2017-09-13	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Hain, Peter	M	-
