ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2021-02-03-lords.u1	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	I	Independent	Opposition	Fowler, Peter	M	-
ParlaMint-GB_2021-02-03-lords.u2	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	I	Independent	Opposition	Fowler, Peter	M	-
ParlaMint-GB_2021-02-03-lords.u3	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CB	Crossbench	Opposition	Trench, Nicholas	M	-
ParlaMint-GB_2021-02-03-lords.u4	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Barran, Diana	F	-
ParlaMint-GB_2021-02-03-lords.u5	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CB	Crossbench	Opposition	Trench, Nicholas	M	-
ParlaMint-GB_2021-02-03-lords.u6	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Barran, Diana	F	-
ParlaMint-GB_2021-02-03-lords.u7	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Bakewell, Joan Dawson	F	-
ParlaMint-GB_2021-02-03-lords.u8	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Barran, Diana	F	-
ParlaMint-GB_2021-02-03-lords.u9	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	LD	Liberal Democrat	Opposition	Bonham Carter, Jane	F	-
ParlaMint-GB_2021-02-03-lords.u10	Minutes of the House of Lords, Daily Session 2021-02-03	2021-02-03	2021-02-03	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Barran, Diana	F	-
