ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2020-10-21-lords.u1	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB;NA	Labour;Non-affiliated	Opposition	McFall, John	M	-
ParlaMint-GB_2020-10-21-lords.u2	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Gueterbock, Anthony Fitzhardinge	M	-
ParlaMint-GB_2020-10-21-lords.u3	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u4	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Gueterbock, Anthony Fitzhardinge	M	-
ParlaMint-GB_2020-10-21-lords.u5	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u6	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Maclean, David John	M	-
ParlaMint-GB_2020-10-21-lords.u7	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u8	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Snape, Peter	M	-
ParlaMint-GB_2020-10-21-lords.u9	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u10	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LD	Liberal Democrat	Opposition	Bradshaw, William Peter	M	-
ParlaMint-GB_2020-10-21-lords.u11	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u12	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Rosser, Richard Andrew	M	-
ParlaMint-GB_2020-10-21-lords.u13	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u14	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	McIntosh, Anne	F	-
ParlaMint-GB_2020-10-21-lords.u15	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u16	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	GP	Green Party	Opposition	Jones, Jennifer	F	-
ParlaMint-GB_2020-10-21-lords.u17	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u18	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Faulkner, Richard Oliver	M	-
ParlaMint-GB_2020-10-21-lords.u19	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u20	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LD	Liberal Democrat	Opposition	Greaves, Anthony Robert	M	-
ParlaMint-GB_2020-10-21-lords.u21	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u22	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Randall, Alexander	M	-
ParlaMint-GB_2020-10-21-lords.u23	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Vere, Charlotte	F	-
ParlaMint-GB_2020-10-21-lords.u24	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LAB;NA	Labour;Non-affiliated	Opposition	McFall, John	M	-
ParlaMint-GB_2020-10-21-lords.u25	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LD	Liberal Democrat	Opposition	German, Michael	M	-
ParlaMint-GB_2020-10-21-lords.u26	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Scott, Jane	F	-
ParlaMint-GB_2020-10-21-lords.u27	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	LD	Liberal Democrat	Opposition	German, Michael	M	-
ParlaMint-GB_2020-10-21-lords.u28	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Scott, Jane	F	-
ParlaMint-GB_2020-10-21-lords.u29	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	BI	Bishops	Opposition	Mullally, Sarah	F	-
ParlaMint-GB_2020-10-21-lords.u30	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Scott, Jane	F	-
ParlaMint-GB_2020-10-21-lords.u31	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Garnier, Edward	M	-
ParlaMint-GB_2020-10-21-lords.u32	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Scott, Jane	F	-
ParlaMint-GB_2020-10-21-lords.u33	Minutes of the House of Lords, Daily Session 2020-10-21	2020-10-21	2020-10-21	Upper house	58					COVID	Regular	MP	CB	Crossbench	Opposition	Meacher, Molly Christine	F	-
