ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2016-01-27-lords.u1	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	UKIP	UK Independence Party	Opposition	Pearson, Malcolm	M	-
ParlaMint-GB_2016-01-27-lords.u2	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u3	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	UKIP	UK Independence Party	Opposition	Pearson, Malcolm	M	-
ParlaMint-GB_2016-01-27-lords.u4	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u5	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Polak, Stuart	M	-
ParlaMint-GB_2016-01-27-lords.u6	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u7	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	BI	Bishops	Opposition	Geoffrey, John	M	-
ParlaMint-GB_2016-01-27-lords.u8	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u9	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2016-01-27-lords.u10	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Singh, Indarjit	M	-
ParlaMint-GB_2016-01-27-lords.u11	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	-	-	-	-	-	-	-
ParlaMint-GB_2016-01-27-lords.u12	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2016-01-27-lords.u13	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u14	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Singh, Indarjit	M	-
ParlaMint-GB_2016-01-27-lords.u15	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u16	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Paddick, Brian	M	-
ParlaMint-GB_2016-01-27-lords.u17	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u18	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	QMZZ	Independent Ulster Unionist	Opposition	Maginnis, Kenneth	M	-
ParlaMint-GB_2016-01-27-lords.u19	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2016-01-27-lords.u20	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Harris, Jonathan Toby	M	-
ParlaMint-GB_2016-01-27-lords.u21	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u22	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Harris, Jonathan Toby	M	-
ParlaMint-GB_2016-01-27-lords.u23	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u24	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Ponsonby, Rupert	M	-
ParlaMint-GB_2016-01-27-lords.u25	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u26	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	West, Alan William John	M	-
ParlaMint-GB_2016-01-27-lords.u27	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u28	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Higgins, Terence Langley	M	-
ParlaMint-GB_2016-01-27-lords.u29	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u30	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Jones, Margaret Beryl	F	-
ParlaMint-GB_2016-01-27-lords.u31	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Gardiner, John Eric	M	-
ParlaMint-GB_2016-01-27-lords.u32	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2016-01-27-lords.u33	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2016-01-27-lords.u34	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2016-01-27-lords.u35	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2016-01-27-lords.u36	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Bruce, Malcolm	M	-
ParlaMint-GB_2016-01-27-lords.u37	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2016-01-27-lords.u38	Minutes of the House of Lords, Daily Session 2016-01-27	2016-01-27	2016-01-27	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Collins, Raymond	M	-
